Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size-Inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price
0,Acer,4,IPS Panel,2,1,5,14.0,1.6,8,256,3.527392,978
1,Dell,3,Full HD,1,1,3,15.600000000000001,2.0,4,256,4.850164,634
2,Dell,3,Full HD,1,1,7,15.600000000000001,2.7,8,256,4.850164,946
3,Dell,4,IPS Panel,2,1,5,13.299999999999999,1.6,8,128,2.6896363999999995,1244
4,HP,4,Full HD,2,1,7,15.600000000000001,1.8,8,256,4.210824199999999,837
5,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,8,256,4.850164,1016
6,HP,3,Full HD,3,1,5,15.600000000000001,1.6,8,256,4.629702,1117
7,Acer,3,IPS Panel,2,1,5,15.0,1.6,4,256,4.850164,866
8,Dell,3,Full HD,1,1,5,15.600000000000001,2.5,4,256,5.070625999999999,812
9,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,4.850164,1068
10,Dell,3,Full HD,1,1,7,15.600000000000001,1.8,8,256,4.6958405999999995,975
11,HP,3,Full HD,2,1,3,15.600000000000001,2.0,4,128,4.210824199999999,558
12,Asus,3,Full HD,2,2,3,15.600000000000001,2.0,4,256,4.40924,527
13,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.7478539999999994,1117
14,Asus,3,Full HD,2,1,5,14.0,1.6,8,256,3.0864679999999995,1195
15,HP,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.1005932,876
16,Dell,4,IPS Panel,1,1,7,13.000000000000002,1.8,8,256,3.0864679999999995,1213
17,Dell,3,Full HD,1,1,7,15.600000000000001,1.8,8,256,4.850164,1105
18,Dell,4,IPS Panel,2,1,5,15.0,1.6,8,256,4.144685599999999,1392
19,HP,3,Full HD,2,1,5,14.0,1.6,8,256,3.5935305999999994,1092
20,HP,4,IPS Panel,3,1,7,15.0,1.8,8,256,4.0344546,888
21,HP,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.321055199999999,761
22,Dell,4,IPS Panel,2,1,7,13.000000000000002,1.8,8,256,2.6675902,2095
23,Dell,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.842242999999999,1518
24,Asus,4,Full HD,2,1,7,14.0,2.7,8,256,2.755775,1333
25,Dell,3,Full HD,1,2,3,15.600000000000001,2.0,4,256,4.850164,616
26,Asus,3,Full HD,3,1,3,15.600000000000001,2.4,6,256,4.40924,733
27,HP,3,Full HD,1,1,7,15.600000000000001,2.7,8,256,4.210824199999999,913
28,HP,4,IPS Panel,3,1,7,13.000000000000002,2.7,8,256,3.0423755999999993,1421
29,HP,3,IPS Panel,3,1,5,14.0,2.5,6,256,4.105513381974248,837
30,Asus,4,IPS Panel,3,1,7,14.0,2.7,8,256,2.866006,1515
31,Lenovo,3,IPS Panel,2,1,7,14.0,2.7,8,256,3.4832996,1880
32,Dell,4,IPS Panel,2,1,5,13.000000000000002,1.6,8,256,2.6675902,2069
33,Asus,3,Full HD,3,1,7,15.600000000000001,1.8,8,256,3.7478539999999994,1420
34,HP,3,Full HD,2,1,5,17.3,1.6,8,256,5.51155,1179
35,Acer,4,IPS Panel,2,1,7,14.0,1.8,8,256,3.527392,1123
36,Acer,3,Full HD,3,1,3,15.600000000000001,2.7,4,256,4.850164,727
37,HP,3,Full HD,2,1,7,14.0,1.8,8,256,3.5935305999999994,1255
38,HP,3,IPS Panel,2,1,5,13.000000000000002,2.5,4,256,4.105513381974248,888
39,Lenovo,3,IPS Panel,1,1,5,14.0,1.6,8,256,3.8580849999999995,1418
40,Asus,4,Full HD,2,1,7,14.0,1.8,8,256,2.755775,1396
41,HP,4,Full HD,2,1,5,14.0,2.7,4,256,3.2628375999999997,1374
42,HP,3,Full HD,1,1,5,15.600000000000001,1.6,6,256,4.210824199999999,786
43,Acer,3,IPS Panel,3,1,5,17.0,1.6,4,256,6.613859999999999,1023
44,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,8,256,4.6958405999999995,925
45,Lenovo,1,IPS Panel,3,1,7,15.0,2.8,16,256,5.51155,1371
46,Acer,3,IPS Panel,3,1,5,17.0,1.6,8,256,6.613859999999999,1085
47,Huawei,4,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,2.314851,1714
48,HP,3,Full HD,3,1,5,17.3,1.6,8,256,5.51155,1172
49,Dell,4,Full HD,2,1,5,13.299999999999999,1.6,8,256,4.105513381974248,1777
50,Acer,4,IPS Panel,2,1,5,13.000000000000002,1.2,8,256,2.4691744,1256
51,HP,3,Full HD,3,1,7,17.3,1.8,8,256,5.51155,1327
52,Dell,4,Full HD,2,1,7,13.299999999999999,1.8,8,256,2.6455439999999997,1841
53,Dell,4,IPS Panel,1,1,7,13.000000000000002,1.8,8,256,3.0864679999999995,1184
54,HP,3,Full HD,3,1,7,14.0,1.8,8,256,3.5935305999999994,1310
55,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.527392,1460
56,Dell,3,Full HD,1,2,5,15.600000000000001,1.6,8,256,4.850164,860
57,Toshiba,4,Full HD,2,1,7,13.299999999999999,2.5,8,256,2.6455439999999997,1731
58,Acer,3,Full HD,3,1,7,15.600000000000001,2.7,8,256,4.850164,1057
59,Asus,3,Full HD,3,1,5,15.600000000000001,2.5,8,256,4.40924,977
60,Dell,3,Full HD,2,1,5,14.0,2.5,8,256,3.527392,1091
61,Dell,3,Full HD,1,2,7,15.600000000000001,2.7,16,256,4.105513381974248,1142
62,Acer,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51155,1075
63,Dell,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.6438272,1117
64,Asus,1,Full HD,3,1,7,17.3,2.9,16,256,7.9366319999999995,3810
65,Acer,3,IPS Panel,3,1,3,17.0,2.7,4,256,6.613859999999999,892
66,Dell,4,Full HD,2,1,5,13.299999999999999,1.6,8,256,3.1085141999999997,1206
67,Lenovo,3,Full HD,2,1,7,15.600000000000001,1.8,8,256,4.519470999999999,1118
68,Dell,3,Full HD,1,2,7,15.600000000000001,1.8,8,256,4.105513381974248,934
69,Lenovo,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51155,1053
70,Lenovo,3,Full HD,2,1,5,15.600000000000001,2.5,6,256,4.850164,735
71,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,6.613859999999999,1208
72,Lenovo,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.299009,1394
73,Asus,4,Full HD,3,1,5,15.600000000000001,2.5,8,256,3.7478539999999994,1241
74,Dell,3,Full HD,3,1,7,15.600000000000001,2.8,8,256,4.40924,2323
75,Lenovo,3,Full HD,2,1,5,15.600000000000001,1.6,8,256,4.519470999999999,939
76,Acer,3,Full HD,3,2,7,15.600000000000001,2.8,8,256,5.51155,1244
77,Dell,5,Full HD,3,1,7,17.3,2.9,16,256,7.539800399999999,3665
78,Toshiba,3,IPS Panel,3,1,7,15.0,2.5,8,256,4.850164,1325
79,Lenovo,3,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,2.425082,1269
80,HP,3,Full HD,2,1,5,14.0,2.5,8,256,4.299009,1245
81,HP,3,Full HD,2,1,7,14.0,2.7,8,256,3.2628375999999997,1641
82,Asus,3,Full HD,2,1,7,14.0,2.7,8,256,4.40924,1390
83,Asus,4,Full HD,3,1,7,15.600000000000001,2.7,8,256,3.7478539999999994,1334
84,HP,4,Full HD,2,1,7,12.5,2.7,8,256,2.7778212,1696
85,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.40924,1198
86,Asus,1,Full HD,3,1,7,15.600000000000001,2.8,8,256,5.51155,1269
87,HP,3,Full HD,2,1,5,14.0,2.6,8,256,3.2628375999999997,1611
88,HP,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.0565008,1453
89,Dell,3,Full HD,3,1,5,15.600000000000001,1.6,8,256,4.40924,1452
90,Dell,4,Full HD,2,1,7,13.299999999999999,1.8,8,256,2.6455439999999997,2006
91,HP,3,Full HD,2,1,7,15.600000000000001,2.7,8,256,4.0565008,1656
92,HP,5,Full HD,3,1,7,15.600000000000001,2.8,8,256,5.732012,2208
93,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,2.9982832,1813
94,Asus,3,Full HD,2,1,5,14.0,2.5,8,256,4.40924,1200
95,Dell,3,Full HD,1,1,7,15.600000000000001,2.7,8,256,5.136764599999999,1142
96,HP,4,IPS Panel,2,1,7,14.0,2.7,8,256,2.9982832,2223
97,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,3.3069299999999995,1396
98,Lenovo,3,IPS Panel,2,1,3,13.000000000000002,2.4,4,128,3.3069299999999995,697
99,Dell,5,IPS Panel,3,1,7,15.0,2.7,8,256,4.40924,2712
100,MSI,1,Full HD,3,1,7,17.3,2.8,8,256,5.952474,1714
101,Dell,3,Full HD,1,2,7,15.600000000000001,2.7,8,256,5.136764599999999,989
102,Lenovo,3,IPS Panel,1,1,7,15.0,1.8,8,256,4.629702,1562
103,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,4.188777999999999,1192
104,Acer,3,Full HD,3,2,7,15.600000000000001,2.8,8,256,5.51155,1117
105,Dell,3,Full HD,1,2,5,15.600000000000001,2.5,4,256,5.070625999999999,761
106,HP,4,Full HD,2,1,7,14.0,2.5,8,256,3.1526065999999995,1905
107,Lenovo,4,IPS Panel,1,1,7,14.0,1.8,8,256,3.8580849999999995,1544
108,HP,3,Full HD,2,1,7,15.600000000000001,2.9,8,256,5.0926722,1813
109,Dell,4,Full HD,2,2,7,14.0,2.8,8,256,3.527392,1396
110,Lenovo,3,IPS Panel,2,1,7,13.000000000000002,2.7,8,256,3.0864679999999995,1283
111,Lenovo,3,IPS Panel,2,1,3,14.0,2.7,4,128,3.7478539999999994,761
112,Asus,3,Full HD,2,2,5,15.600000000000001,2.5,4,256,4.40924,710
113,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,4,256,4.850164,951
114,Lenovo,4,IPS Panel,2,1,5,12.0,2.5,8,256,2.9982832,1815
115,Dell,3,Full HD,3,1,5,14.0,2.8,8,256,3.6155767999999995,1498
116,MSI,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,4.850164,1306
117,Dell,5,IPS Panel,3,1,7,15.0,2.7,16,256,4.784025399999999,2509
118,Lenovo,3,Full HD,2,1,5,14.0,2.5,8,256,3.6376229999999996,1709
119,Lenovo,3,Full HD,3,1,7,15.600000000000001,2.9,8,256,5.886335399999999,2655
120,Dell,4,Full HD,2,1,5,14.673076923076925,1.6,8,256,3.1305603999999994,2340
121,Dell,5,Full HD,3,1,7,15.600000000000001,2.8,8,256,3.9242236,3059
122,Toshiba,3,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,2.314851,2124
123,HP,3,IPS Panel,2,1,5,13.000000000000002,1.6,4,128,3.2848838,922
124,Lenovo,3,IPS Panel,2,1,5,14.0,1.6,8,256,3.8580849999999995,1333
125,Lenovo,3,IPS Panel,3,1,5,15.0,2.5,8,256,5.070625999999999,1286
126,Lenovo,3,Full HD,2,1,7,15.600000000000001,1.8,8,256,4.784025399999999,1142
127,Lenovo,3,IPS Panel,2,1,3,13.000000000000002,2.4,8,256,3.0864679999999995,1206
128,Lenovo,3,IPS Panel,2,1,5,15.0,2.5,8,256,5.070625999999999,1157
129,Lenovo,3,Full HD,2,1,5,13.299999999999999,2.5,8,256,3.1746527999999996,1206
130,Dell,4,IPS Panel,2,1,5,13.299999999999999,2.5,8,128,2.8439598,1142
131,HP,3,Full HD,3,1,5,15.600000000000001,2.5,8,256,4.4974248,1129
132,HP,4,IPS Panel,2,1,7,13.000000000000002,2.7,8,256,2.9100984,1777
133,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,3.6155767999999995,1626
134,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,4.4533324,1702
135,Dell,3,Full HD,2,1,5,15.600000000000001,2.8,8,256,4.188777999999999,1749
136,Dell,3,Full HD,3,1,7,15.600000000000001,2.8,8,256,4.2549166,1739
137,Dell,3,Full HD,1,1,5,15.600000000000001,1.6,8,256,4.850164,1013
138,Lenovo,3,IPS Panel,3,1,7,14.0,2.7,8,256,4.1226394,1091
139,Dell,3,Full HD,2,1,3,14.0,2.0,4,128,3.527392,935
140,HP,3,Full HD,2,1,3,15.600000000000001,2.4,4,128,4.629702,896
141,Lenovo,3,Full HD,2,1,3,15.600000000000001,2.0,4,128,4.850164,634
142,Dell,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.188777999999999,1419
143,Lenovo,3,Full HD,2,1,3,15.600000000000001,2.7,4,128,4.519470999999999,800
144,Lenovo,3,IPS Panel,3,1,7,17.0,2.8,8,256,7.495707999999999,3810
145,Lenovo,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,5.070625999999999,1054
146,Dell,3,Full HD,1,2,7,15.600000000000001,2.7,8,256,4.850164,951
147,HP,3,Full HD,2,1,3,13.299999999999999,2.4,4,128,3.2848838,913
148,Dell,3,Full HD,3,1,7,15.600000000000001,2.8,16,256,4.2549166,1953
149,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,12,256,3.0864679999999995,2125
150,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.7478539999999994,1872
151,Dell,5,Full HD,3,1,7,14.673076923076925,2.8,8,256,4.5415171999999995,2240
152,HP,3,Full HD,2,1,7,15.600000000000001,2.7,8,256,4.0565008,1548
153,Toshiba,3,IPS Panel,2,1,7,15.0,2.5,8,256,4.850164,1777
154,Dell,3,Full HD,1,2,5,15.600000000000001,2.5,4,128,4.8060716,723
155,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.6376229999999996,1861
156,Dell,3,Full HD,3,1,7,15.600000000000001,2.8,8,256,4.40924,2312
157,Lenovo,3,Full HD,2,1,5,15.600000000000001,1.6,4,256,3.9683159999999997,1053
158,Acer,4,IPS Panel,2,1,5,14.0,2.5,8,256,3.9683159999999997,1167
159,Razer,1,Full HD,3,1,7,14.0,2.8,16,256,4.299009,3301
160,Toshiba,3,Full HD,2,1,5,13.299999999999999,2.3,8,256,2.6455439999999997,1541
161,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,2.9982832,2012
162,Dell,4,Full HD,2,1,5,13.299999999999999,1.6,8,256,2.6455439999999997,1842
163,Dell,3,Full HD,1,1,7,15.600000000000001,1.8,8,256,4.850164,1167
164,Dell,3,Full HD,2,1,5,14.0,2.4,8,256,3.4392072,1561
165,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.40924,1598
166,Asus,4,Full HD,2,1,5,14.0,2.5,8,256,2.425082,1442
167,Acer,1,Full HD,3,1,5,15.600000000000001,2.5,16,256,5.51155,1650
168,MSI,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,4.850164,1268
169,HP,3,IPS Panel,1,1,3,17.0,2.0,4,256,5.51155,888
170,Lenovo,3,Full HD,2,1,5,14.0,2.5,4,256,3.7478539999999994,888
171,Toshiba,3,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,3.3069299999999995,1236
172,Dell,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,4.8060716,1010
173,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.9683159999999997,1513
174,Dell,3,Full HD,3,2,5,14.0,2.8,8,256,3.6155767999999995,1383
175,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,4.1226394,1089
176,Dell,3,Full HD,2,1,5,15.600000000000001,2.6,8,256,4.188777999999999,1498
177,HP,3,Full HD,3,1,7,17.3,2.7,8,256,5.7981506,1524
178,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.9100984,1904
179,Lenovo,3,IPS Panel,2,1,5,13.000000000000002,2.5,8,256,3.1746527999999996,1219
180,HP,5,Full HD,3,1,7,15.600000000000001,2.8,16,256,5.732012,3073
181,Toshiba,3,IPS Panel,2,1,5,14.0,2.5,8,256,2.755775,1950
182,Samsung,4,Full HD,2,1,7,13.299999999999999,2.7,16,256,1.7857422,2095
183,HP,3,Full HD,2,1,3,15.600000000000001,2.0,8,256,4.1005932,685
184,HP,3,Full HD,2,1,5,15.600000000000001,2.4,8,256,4.0565008,2414
185,HP,5,Full HD,3,1,7,15.600000000000001,2.6,8,256,5.709965799999999,1983
186,Dell,4,Full HD,2,1,7,12.5,2.8,16,256,2.6014515999999994,2361
187,Samsung,4,Full HD,2,1,7,14.673076923076925,2.7,8,256,2.8880521999999997,2031
188,Dell,3,Full HD,1,1,7,15.600000000000001,2.7,16,256,5.070625999999999,1501
189,Acer,3,IPS Panel,2,1,3,14.0,2.4,4,128,3.9683159999999997,808
190,Dell,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.7761043999999995,1251
191,Dell,3,Full HD,1,1,3,15.600000000000001,2.0,8,256,4.40924,939
192,HP,5,Full HD,3,1,7,15.600000000000001,2.8,8,256,6.9225068,2623
193,Asus,3,Full HD,2,1,5,15.600000000000001,2.5,8,256,5.2249494,1396
194,Dell,4,Full HD,2,1,5,13.299999999999999,2.5,8,256,2.8439598,1904
195,Samsung,4,Full HD,2,1,5,13.299999999999999,2.5,8,256,1.7857422,1904
196,Dell,3,Full HD,1,1,5,15.600000000000001,2.5,8,256,4.8060716,1003
197,Lenovo,4,Full HD,2,1,7,14.0,2.7,8,256,2.9100984,2361
198,MSI,1,Full HD,3,1,5,15.600000000000001,2.5,8,256,5.291087999999999,1523
199,Acer,3,IPS Panel,2,1,3,14.0,2.4,8,128,3.3069299999999995,786
200,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.7478539999999994,1507
201,Lenovo,3,IPS Panel,2,1,5,14.0,2.6,8,256,2.9100984,2096
202,Dell,3,Full HD,1,1,7,15.600000000000001,2.7,4,256,4.8060716,939
203,Lenovo,4,IPS Panel,3,1,7,14.0,2.8,8,256,4.321055199999999,2417
204,Asus,3,IPS Panel,3,1,7,15.0,2.7,8,256,5.070625999999999,1000
205,Dell,3,Full HD,2,1,5,15.600000000000001,2.5,8,128,4.188777999999999,1200
206,HP,3,Full HD,1,1,5,15.600000000000001,2.6,8,256,4.0565008,1714
207,Toshiba,3,Full HD,2,1,5,13.299999999999999,2.5,4,128,2.314851,1632
208,Acer,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.4392072,1146
209,Toshiba,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.40924,1763
210,Samsung,4,Full HD,3,1,7,15.0,2.7,16,256,2.7116825999999996,2349
211,Dell,4,Full HD,2,1,7,12.5,2.8,8,256,3.527392,2147
212,Xiaomi,4,IPS Panel,3,1,5,13.000000000000002,2.3,8,256,2.8219136,1188
213,HP,3,Full HD,2,1,5,15.600000000000001,2.5,4,256,4.4974248,1066
214,HP,3,Full HD,2,1,5,14.0,2.5,4,128,4.299009,1607
215,Samsung,4,Full HD,2,1,7,15.0,2.7,8,256,2.5794053999999997,2158
216,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.9100984,2285
217,Toshiba,3,Full HD,2,1,5,13.299999999999999,2.5,8,256,2.314851,1874
218,Dell,3,Full HD,2,1,5,14.0,2.8,8,256,3.527392,1531
219,Lenovo,3,Full HD,3,1,7,15.600000000000001,2.7,6,256,4.850164,1002
220,HP,3,Full HD,3,1,7,15.600000000000001,2.7,8,256,4.4974248,1294
221,Lenovo,3,Full HD,2,1,5,13.299999999999999,2.5,4,128,3.1746527999999996,1119
222,HP,3,Full HD,2,1,5,13.299999999999999,2.5,8,256,3.2848838,1219
223,HP,4,Full HD,1,1,7,15.600000000000001,2.5,8,256,4.0565008,1648
224,Toshiba,3,IPS Panel,3,1,7,15.0,2.6,16,256,5.291087999999999,2509
225,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,2.9982832,2096
226,HP,3,Full HD,2,1,5,15.600000000000001,2.3,8,256,5.0926722,1480
227,Toshiba,3,IPS Panel,2,1,5,14.0,2.3,4,128,3.2407913999999995,1404
228,HP,2,Full HD,2,1,5,12.5,2.3,8,256,2.7778212,2120
229,Dell,4,Full HD,2,1,5,14.0,2.5,8,256,2.9982832,2082
230,Dell,4,Full HD,2,1,5,14.673076923076925,2.5,8,256,2.9982832,1870
231,Dell,4,Full HD,2,1,7,14.0,2.8,8,256,2.9982832,2255
232,Toshiba,3,Full HD,2,1,5,13.299999999999999,2.3,8,256,2.6455439999999997,1855
233,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,8,256,3.7478539999999994,1891
234,Toshiba,3,Full HD,2,1,5,13.299999999999999,2.4,8,256,2.6455439999999997,1950
235,Lenovo,4,IPS Panel,2,1,5,12.0,2.6,8,256,2.9982832,2236
236,Lenovo,3,Full HD,3,1,5,15.600000000000001,2.5,6,256,5.291087999999999,883
237,Toshiba,3,Full HD,2,1,5,14.0,2.3,8,256,4.299009,1499
